Type,Grain Label,Reference,Meteorite,Technique,Size (microns),Notes,7Li/6Li,Error[7Li/6Li],11B/10B,Error[11B/10B],12C/13C,Error[12C/13C],14N/15N,Error[14N/15N],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(29Si/28Si)],26Al/27Al,Error[26Al/27Al],d(33S/32S),Error[d(33S/32S)],d(34S/32S),Error[d(34S/32S)],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],44Ti/48Ti,Error[44Ti/48Ti),d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],51V/48Ti,Error[51V/48Ti],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)],d(84Sr/86Sr),Error[d(84Sr/86Sr)],d(87Sr/86Sr),Error[d(87Sr/86Sr)],d(88Sr/86Sr),Error[d(88Sr/86Sr)],d(90Zr/94Zr),Error[d(90Zr/94Zr)],d(91Zr/94Zr),Error[d(91Zr/94Zr)],d(92Zr/94Zr),Error[d(92Zr/94Zr)],d(96Zr/94Zr),Error[d(96Zr/94Zr)],d(92Mo/96Mo),Error[d(92Mo/96Mo)],d(94Mo/96Mo),Error[d(94Mo/96Mo)],d(95Mo/96Mo),Error[d(95Mo/96Mo)],d(97Mo/96Mo),Error[d(97Mo/96Mo)],d(98Mo/96Mo),Error[d(98Mo/96Mo)],d(100Mo/96Mo),Error[d(100Mo/96Mo)],d(96Ru/100Ru),Error[d(96Ru/100Ru)],d(98Ru/100Ru),Error[d(98Ru/100Ru)],d(99Ru/100Ru),Error[d(99Ru/100Ru)],d(101Ru/100Ru),Error[d(101Ru/100Ru)],d(102Ru/100Ru),Error[d(102Ru/100Ru)],d(104Ru/100Ru),Error[d(104Ru/100Ru)],d(134Ba/136Ba),Error[d(134Ba/136Ba)],d(135Ba/136Ba),Error[d(135Ba/136Ba)],d(137Ba/136Ba),Error[d(137Ba/136Ba)],d(138Ba/136Ba),Error[d(138Ba/136Ba)],
M,KJC107,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,18.50,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC108,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,112.50,37.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC109,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,49.80,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,KJC11 ,Hoppe LPSC 1996,Murchison,Bern 3f,0.5,,,,,,4.00,0.20,6.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC110,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,57.50,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC111,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,18.10,1.30,6.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC113,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,37.70,7.20,183.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC114,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,56.50,5.10,475.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC115,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,44.40,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC116,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,46.80,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC117,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,57.20,3.70,553.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC118,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,42.10,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC119,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,59.30,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC120,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,58.30,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC121,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,52.40,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,KJC122,Hoppe LPSC 1996,Murchison,Bern 3f,0.6,,,,,,133.60,23.70,1113.0,916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC123,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,46.80,6.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC124,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,23.50,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC125,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,50.40,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC126,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,71.80,28.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC127,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,48.00,8.20,1236.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC128,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,39.90,2.10,1159.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC129,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,16.70,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC130,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,62.60,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC131,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,14.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC132,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,94.20,28.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC133,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,23.80,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC134,Hoppe LPSC 1996,Murchison,Bern 3f,0.80,,,,,,51.30,5.30,2953.0,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC135,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,61.50,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC136,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,52.90,6.70,315.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC137,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,52.10,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC138,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,68.80,10.60,608.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC139,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,51.20,5.50,424.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC140,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,28.70,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,KJC141,Hoppe LPSC 1996,Murchison,Bern 3f,0.6,,,,,,159.90,33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC142,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,43.10,9.20,72.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC144,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,63.90,18.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC145,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,70.10,15.00,731.0,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC146,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,70.90,6.00,736.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC147,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,59.20,8.80,1109.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC148,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,61.50,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC149,Hoppe LPSC 1996,Murchison,Bern 3f,0.20,,,,,,39.70,19.30,154.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,KJC150,Hoppe LPSC 1996,Murchison,Bern 3f,0.6,,,,,,10.30,0.50,154.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC151,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,42.00,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC152,Hoppe LPSC 1996,Murchison,Bern 3f,0.20,,,,,,83.50,29.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC153,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,42.00,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC154,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,91.00,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC155,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,68.90,14.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,KJC156,Hoppe LPSC 1996,Murchison,Bern 3f,0.3,,,,,,194.40,96.30,813.0,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC157,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,21.20,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC158,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,53.20,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC159,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,21.10,1.60,959.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC160,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,27.10,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC161,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,53.00,7.10,2556.0,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC162,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,47.70,2.70,321.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,KJC163,Hoppe LPSC 1996,Murchison,Bern 3f,1,,,,,,9.30,0.30,321.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC164,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,49.70,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC165,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,47.20,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC166,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,46.80,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC167,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,44.00,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC168,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,52.80,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,KJC169,Hoppe LPSC 1996,Murchison,Bern 3f,0.5,,,,,,123.10,19.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC170,Hoppe LPSC 1996,Murchison,Bern 3f,0.30,,,,,,37.00,7.60,521.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC171,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,66.70,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC172,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,108.50,24.30,270.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC173,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,50.90,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,KJC174,Hoppe LPSC 1996,Murchison,Bern 3f,0.4,,,,,,10.20,0.80,698.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC175,Hoppe LPSC 1996,Murchison,Bern 3f,0.00,,,,,,15.40,15.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC176,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,72.30,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC177,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,89.20,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC178,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,53.10,5.20,198.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC179,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,93.40,11.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC180,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,50.00,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC181,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,67.40,11.30,49.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC183,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,36.00,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC184,Hoppe LPSC 1996,Murchison,Bern 3f,0.40,,,,,,42.60,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC185,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,58.10,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC186,Hoppe LPSC 1996,Murchison,Bern 3f,0.60,,,,,,96.90,18.60,1937.0,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC187,Hoppe LPSC 1996,Murchison,Bern 3f,1.00,,,,,,49.40,2.50,638.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC188,Hoppe LPSC 1996,Murchison,Bern 3f,2.00,,,,,,29.20,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC189,Hoppe LPSC 1996,Murchison,Bern 3f,0.90,,,,,,51.50,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC190,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,43.10,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC191,Hoppe LPSC 1996,Murchison,Bern 3f,0.70,,,,,,108.00,15.50,49.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC193,Hoppe LPSC 1996,Murchison,Bern 3f,0.80,,,,,,38.00,5.40,608.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,KJC194,Hoppe LPSC 1996,Murchison,Bern 3f,0.6,,,,,,9.30,0.50,608.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC195,Hoppe LPSC 1996,Murchison,Bern 3f,0.80,,,,,,75.40,8.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC196,Hoppe LPSC 1996,Murchison,Bern 3f,0.80,,,,,,50.10,4.20,5551.0,1702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC197,Hoppe LPSC 1996,Murchison,Bern 3f,2.00,,,,,,57.20,2.30,116.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,KJC199,Hoppe LPSC 1996,Murchison,Bern 3f,1,,,,,,10.20,0.30,3897.0,3830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,KJC201,Hoppe LPSC 1996,Murchison,Bern 3f,0.50,,,,,,34.50,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
